Brand,Model,Slug,Track Size
"Airman","AX22UCGL4","airman-ax22ucgl4","300x52.5x72"
"Airman","AX25","airman-ax25","300x55x74"
"Airman","AX25","airman-ax25","250x52.5x76"
"Airman","AX25","airman-ax25","300x52.5x76"
"Airman","AX25-1","airman-ax25-1","300x55x74"
"Airman","AX25-1","airman-ax25-1","250x52.5x76"
"Airman","AX25-1","airman-ax25-1","300x52.5x76"
"Airman","AX25-2","airman-ax25-2","300x55x74"
"Airman","AX25-2","airman-ax25-2","250x52.5x76"
"Airman","AX25-2","airman-ax25-2","300x52.5x76"
"Airman","AX25-3","airman-ax25-3","250x52.5x73"
"Airman","AX25-3","airman-ax25-3","300x52.5x72"
"Airman","AX26U-6","airman-ax26u-6","300x52.5x80"
"Airman","AX27","airman-ax27","300x52.5x78"
"Airman","AX27U","airman-ax27u","300x52.5x78"
"Airman","AX27U-4","airman-ax27u-4","300x52.5x80"
"Airman","AX29UCGL","airman-ax29ucgl","300x52.5x78"
"Airman","AX30","airman-ax30","300x55x80"
"Airman","AX30","airman-ax30","300x52.5x82"
"Airman","AX30-1","airman-ax30-1","300x52.5x82"
"Airman","AX30-1","airman-ax30-1","300x52.5x86"
"Airman","AX30-2","airman-ax30-2","300x55x80"
"Airman","AX30-2","airman-ax30-2","300x52.5x82"
"Airman","AX30-3","airman-ax30-3","300x52.5x82"
"Airman","AX30U-4","airman-ax30u-4","300x52.5x86"
"Airman","AX30UR","airman-ax30ur","300x52.5x76"
"Airman","AX30UR-1","airman-ax30ur-1","300x55x74"
"Airman","AX30UR-1","airman-ax30ur-1","250x52.5x76"
"Airman","AX30UR-1","airman-ax30ur-1","300x52.5x76"
"Airman","AX30UR-2","airman-ax30ur-2","300x55x74"
"Airman","AX30UR-2","airman-ax30ur-2","250x52.5x76"
"Airman","AX30UR-2","airman-ax30ur-2","300x52.5x76"
"Airman","AX30UR-3","airman-ax30ur-3","300x52.5x82"
"Airman","AX32U","airman-ax32u","300x52.5x82"
"Airman","AX33MU","airman-ax33mu","300x52.5x82"
"Airman","AX33U","airman-ax33u","300x52.5x82"
"Airman","AX33U-6","airman-ax33u-6","300x52.5x82"
"Airman","AX35","airman-ax35","300x55x80"
"Airman","AX35","airman-ax35","300x52.5x82"
"Airman","AX35-1","airman-ax35-1","300x55x80"
"Airman","AX35-1","airman-ax35-1","300x52.5x82"
"Airman","AX35-2","airman-ax35-2","300x52.5x82"
"Airman","AX35CGL-3","airman-ax35cgl-3","300x52.5x82"
"Airman","AX35U","airman-ax35u","300x52.5x86"
"Airman","AX35U-4","airman-ax35u-4","300x52.5x86"
"Airman","AX36U","airman-ax36u","300x52.5x86"
"Airman","AX36UCGL","airman-ax36ucgl","300x52.5x86"
"Airman","AX38UCGL","airman-ax38ucgl","300x52.5x86"
"Airman","AX40","airman-ax40","400x72.5x72"
"Airman","AX40-2","airman-ax40-2","400x72.5x72"
"Airman","AX40U","airman-ax40u","400x72.5x72"
"Airman","AX40U-4","airman-ax40u-4","400x73x72"
"Airman","AX40U-4","airman-ax40u-4","400x72.5x72"
"Airman","AX40UR-1","airman-ax40ur-1","400x72.5x72"
"Airman","AX40UR-2","airman-ax40ur-2","400x72.5x72"
"Airman","AX45","airman-ax45","400x72.5x72"
"Airman","AX45-2","airman-ax45-2","400x72.5x72"
"Airman","AX45CGL-2","airman-ax45cgl-2","400x72.5x72"
"Airman","AX50","airman-ax50","400x142x37"
"Airman","AX50","airman-ax50","400x72.5x72"
"Airman","AX50-2","airman-ax50-2","400x72.5x72"
"Airman","AX50-3","airman-ax50-3","400x73x72"
"Airman","AX50-3","airman-ax50-3","400x72.5x72"
"Airman","AX50U","airman-ax50u","400x72.5x72"
"Airman","AX50U-4","airman-ax50u-4","400x73x74"
"Airman","AX50U-4","airman-ax50u-4","400x72.5x74"
"Airman","AX50UCGL","airman-ax50ucgl","400x72.5x72"
"Airman","AX52UCGL-5","airman-ax52ucgl-5","400x72.5x74"
"Airman","AX55U-6A","airman-ax55u-6a","400x72.5x74"
"Airman","AX55UR","airman-ax55ur","400x72.5x72"
"Airman","AX55UR-3","airman-ax55ur-3","400x72.5x72"
"Airman","AX58","airman-ax58","400x72.5x74"
"Airman","AX58MU","airman-ax58mu","400x73x74"
"Airman","AX58MU","airman-ax58mu","400x72.5x74"
"Airman","AXC12","airman-axc12","230x96x31"
"Airman","AXC12","airman-axc12","230x48x62"
"Airman","AXC15","airman-axc15","230x96x31"
"Airman","AXC15","airman-axc15","230x48x62"
"Airman","HM07S","airman-hm07s","180x72x36"
"Airman","HM10","airman-hm10","200x72x42"
"Airman","HM10NEW","airman-hm10new","230x48x66"
"Airman","HM10G","airman-hm10g","200x72x42"
"Airman","HM10SG","airman-hm10sg","200x72x42"
"Airman","HM15","airman-hm15","200x72x42"
"Airman","HM15NEW","airman-hm15new","230x96x33"
"Airman","HM15NEW","airman-hm15new","230x48x66"
"Airman","HM15S","airman-hm15s","200x72x42"
"Airman","HM30SGZ","airman-hm30sgz","300x109x40"
"Airman","HM30SGZ","airman-hm30sgz","300x52.5x82"
"Airman","HM35","airman-hm35","300x109x42"
"Airman","HM35","airman-hm35","300x52.5x86"
"Airman","HM45","airman-hm45","400x146x36"
"Airman","HM45","airman-hm45","400x72.5x72"
"Airman","HM45-2","airman-hm45-2","400x146x36"
"Airman","HM45-2","airman-hm45-2","400x72.5x72"
"Airman","HM45SG-2","airman-hm45sg-2","400x146x36"
"Airman","HM45SG-2","airman-hm45sg-2","400x72.5x72"
"Airman","HM50","airman-hm50","400x146x36"
"Airman","HM50","airman-hm50","400x72.5x72"
"Airman","HM55","airman-hm55","400x146x36"
"Airman","HM55","airman-hm55","400x72.5x72"
"Airman-Foredil","AX16-2N","airman-foredil-ax16-2n","230x96x33"
"Airman-Foredil","AX16-2N","airman-foredil-ax16-2n","230x48x66"
"Airman-Foredil","AX29U","airman-foredil-ax29u","300x52.5x78"
"Airman-Foredil","AX35","airman-foredil-ax35","300x55x80"
"Airman-Foredil","AX35","airman-foredil-ax35","300x52.5x82"
"Airman-Foredil","AX45","airman-foredil-ax45","400x72.5x72"
"Airman-Foredil","AX22","airman-foredil-ax22","250x52.5x73"
"Airman-Foredil","AX22","airman-foredil-ax22","300x52.5x72"
"Almac","Athena-870","almac-athena-870","250x72x57"
"Almac","BIBI-1090EVO","almac-bibi-1090evo","250x72x64"
"Almac","BIBI-1250CL","almac-bibi-1250cl","250x72x64"
"Almac","BIBI-1470HE","almac-bibi-1470he","250x72x64"
"Almac","BIBI-850BL","almac-bibi-850bl","250x72x57"
"Almac","BIBI-850HE","almac-bibi-850he","200x72x47"
"Almac","BIBI-870BL","almac-bibi-870bl","250x72x57"
"Almac","BIEASY1,5","almac-bieasy15","230x72x43"
"Almac","MULTI-LOADER2.5","almac-multi-loader25","250x72x64"
"Amerequip Eagle","TRAX40","amerequip-eagle-trax40","230x96x39"
"Amerequip Eagle","TRAX40","amerequip-eagle-trax40","250x48x78"
"American Direction Drill","DD10","american-direction-drill-dd10","230x72x56"
"American Direction Drill","DD2","american-direction-drill-dd2","230x72x56"
"American Direction Drill","DD3","american-direction-drill-dd3","320x52.5x88"
"American Direction Drill","DD3","american-direction-drill-dd3","300x52.5x88"
"American Direction Drill","DD4","american-direction-drill-dd4","300x54x82"
