Brand,Model (Raw),Model (Clean),Slug,Track Sizes,Has Bottom Roller Data,Has Sprocket Data,Has Idler Data,Has Carrier Roller Data
"Airman","AX15 U","AX15U","airman-ax15u","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","AX15-2","AX15-2","airman-ax15-2","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","AX16","AX16","airman-ax16","230x96x33; 230x48x63","NO","NO","NO","NO"
"Airman","AX16-2","AX16-2","airman-ax16-2","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","AX16-3","AX16-3","airman-ax16-3","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","AX16CBL-3","AX16CBL-3","airman-ax16cbl-3","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","AX18-2","AX18-2","airman-ax18-2","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX19U","AX19U","airman-ax19u","230x48x70","NO","NO","NO","NO"
"Airman","AX20-3","AX20-3","airman-ax20-3","250x107x38; 300x52.5x76","NO","NO","NO","NO"
"Airman","AX20U","AX20U","airman-ax20u","250x96x41; 250x47x84; 250x48x82","NO","NO","NO","NO"
"Airman","AX20UR","AX20UR","airman-ax20ur","250x107x38; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Airman","AX22","AX22","airman-ax22","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX22-1","AX22-1","airman-ax22-1","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX22-2","AX22-2","airman-ax22-2","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX22CGL","AX22CGL","airman-ax22cgl","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX22UCGL","AX22UCGL","airman-ax22ucgl","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX22UCGL4","AX22UCGL4","airman-ax22ucgl4","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX25","AX25","airman-ax25","300x55x74; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Airman","AX25-1","AX25-1","airman-ax25-1","300x55x74; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Airman","AX25-2","AX25-2","airman-ax25-2","300x55x74; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Airman","AX25-3","AX25-3","airman-ax25-3","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Airman","AX26U-6","AX26U-6","airman-ax26u-6","300x52.5x80","NO","NO","NO","NO"
"Airman","AX27","AX27","airman-ax27","300x52.5x78","NO","NO","NO","NO"
"Airman","AX27U","AX27U","airman-ax27u","300x52.5x78","NO","NO","NO","NO"
"Airman","AX27U-4","AX27U-4","airman-ax27u-4","300x52.5x80","NO","NO","NO","NO"
"Airman","AX29UCGL","AX29UCGL","airman-ax29ucgl","300x52.5x78","NO","NO","NO","NO"
"Airman","AX30","AX30","airman-ax30","300x55x80; 300x52.5x82","NO","NO","NO","NO"
"Airman","AX30-1","AX30-1","airman-ax30-1","300x52.5x82; 300x52.5x86","NO","NO","NO","NO"
"Airman","AX30-2","AX30-2","airman-ax30-2","300x55x80; 300x52.5x82","NO","NO","NO","NO"
"Airman","AX30-3","AX30-3","airman-ax30-3","300x52.5x82","NO","NO","NO","NO"
"Airman","AX30U-4","AX30U-4","airman-ax30u-4","300x52.5x86","NO","NO","NO","NO"
"Airman","AX30UR","AX30UR","airman-ax30ur","300x52.5x76","NO","NO","NO","NO"
"Airman","AX30UR-1","AX30UR-1","airman-ax30ur-1","300x55x74; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Airman","AX30UR-2","AX30UR-2","airman-ax30ur-2","300x55x74; 250x52.5x76; 300x52.5x76","NO","NO","NO","NO"
"Airman","AX30UR-3","AX30UR-3","airman-ax30ur-3","300x52.5x82","NO","NO","NO","NO"
"Airman","AX32U","AX32U","airman-ax32u","300x52.5x82","NO","NO","NO","NO"
"Airman","AX33MU","AX33MU","airman-ax33mu","300x52.5x82","NO","NO","NO","NO"
"Airman","AX33U","AX33U","airman-ax33u","300x52.5x82","NO","NO","NO","NO"
"Airman","AX33U-6","AX33U-6","airman-ax33u-6","300x52.5x82","NO","NO","NO","NO"
"Airman","AX35","AX35","airman-ax35","300x55x80; 300x52.5x82","NO","NO","NO","NO"
"Airman","AX35-1","AX35-1","airman-ax35-1","300x55x80; 300x52.5x82","NO","NO","NO","NO"
"Airman","AX35-2","AX35-2","airman-ax35-2","300x52.5x82","NO","NO","NO","NO"
"Airman","AX35CGL-3","AX35CGL-3","airman-ax35cgl-3","300x52.5x82","NO","NO","NO","NO"
"Airman","AX35U","AX35U","airman-ax35u","300x52.5x86","NO","NO","NO","NO"
"Airman","AX35U-4","AX35U-4","airman-ax35u-4","300x52.5x86","NO","NO","NO","NO"
"Airman","AX36U","AX36U","airman-ax36u","300x52.5x86","NO","NO","NO","NO"
"Airman","AX36UCGL","AX36UCGL","airman-ax36ucgl","300x52.5x86","NO","NO","NO","NO"
"Airman","AX38UCGL","AX38UCGL","airman-ax38ucgl","300x52.5x86","NO","NO","NO","NO"
"Airman","AX40","AX40","airman-ax40","400x72.5x72","NO","NO","NO","NO"
"Airman","AX40-2","AX40-2","airman-ax40-2","400x72.5x72","NO","NO","NO","NO"
"Airman","AX40U","AX40U","airman-ax40u","400x72.5x72","NO","NO","NO","NO"
"Airman","AX40U-4","AX40U-4","airman-ax40u-4","400x73x72; 400x72.5x72","NO","NO","NO","NO"
"Airman","AX40UR-1","AX40UR-1","airman-ax40ur-1","400x72.5x72","NO","NO","NO","NO"
"Airman","AX40UR-2","AX40UR-2","airman-ax40ur-2","400x72.5x72","NO","NO","NO","NO"
"Airman","AX45","AX45","airman-ax45","400x72.5x72","NO","NO","NO","NO"
"Airman","AX45-2","AX45-2","airman-ax45-2","400x72.5x72","NO","NO","NO","NO"
"Airman","AX45CGL-2","AX45CGL-2","airman-ax45cgl-2","400x72.5x72","NO","NO","NO","NO"
"Airman","AX50","AX50","airman-ax50","400x142x37; 400x72.5x72","NO","NO","NO","NO"
"Airman","AX50-2","AX50-2","airman-ax50-2","400x72.5x72","NO","NO","NO","NO"
"Airman","AX50-3","AX50-3","airman-ax50-3","400x73x72; 400x72.5x72","NO","NO","NO","NO"
"Airman","AX50U","AX50U","airman-ax50u","400x72.5x72","NO","NO","NO","NO"
"Airman","AX50U-4","AX50U-4","airman-ax50u-4","400x73x74; 400x72.5x74","NO","NO","NO","NO"
"Airman","AX50UCGL","AX50UCGL","airman-ax50ucgl","400x72.5x72","NO","NO","NO","NO"
"Airman","AX52UCGL-5","AX52UCGL-5","airman-ax52ucgl-5","400x72.5x74","NO","NO","NO","NO"
"Airman","AX55U-6A","AX55U-6A","airman-ax55u-6a","400x72.5x74","NO","NO","NO","NO"
"Airman","AX55UR","AX55UR","airman-ax55ur","400x72.5x72","NO","NO","NO","NO"
"Airman","AX55UR-3","AX55UR-3","airman-ax55ur-3","400x72.5x72","NO","NO","NO","NO"
"Airman","AX58","AX58","airman-ax58","400x72.5x74","NO","NO","NO","NO"
"Airman","AX58MU","AX58MU","airman-ax58mu","400x73x74; 400x72.5x74","NO","NO","NO","NO"
"Airman","AXC12","AXC12","airman-axc12","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","AXC15","AXC15","airman-axc15","230x96x31; 230x48x62","NO","NO","NO","NO"
"Airman","HM07S","HM07S","airman-hm07s","180x72x36","NO","NO","NO","NO"
"Airman","HM10","HM10","airman-hm10","200x72x42","NO","NO","NO","NO"
"Airman","HM10 NEW","HM10NEW","airman-hm10new","230x48x66","NO","NO","NO","NO"
"Airman","HM10G","HM10G","airman-hm10g","200x72x42","NO","NO","NO","NO"
"Airman","HM10SG","HM10SG","airman-hm10sg","200x72x42","NO","NO","NO","NO"
"Airman","HM15","HM15","airman-hm15","200x72x42","NO","NO","NO","NO"
"Airman","HM15 NEW","HM15NEW","airman-hm15new","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman","HM15S","HM15S","airman-hm15s","200x72x42","NO","NO","NO","NO"
"Airman","HM30SGZ","HM30SGZ","airman-hm30sgz","300x109x40; 300x52.5x82","NO","NO","NO","NO"
"Airman","HM35","HM35","airman-hm35","300x109x42; 300x52.5x86","NO","NO","NO","NO"
"Airman","HM45","HM45","airman-hm45","400x146x36; 400x72.5x72","NO","NO","NO","NO"
"Airman","HM45-2","HM45-2","airman-hm45-2","400x146x36; 400x72.5x72","NO","NO","NO","NO"
"Airman","HM45SG-2","HM45SG-2","airman-hm45sg-2","400x146x36; 400x72.5x72","NO","NO","NO","NO"
"Airman","HM50","HM50","airman-hm50","400x146x36; 400x72.5x72","NO","NO","NO","NO"
"Airman","HM55","HM55","airman-hm55","400x146x36; 400x72.5x72","NO","NO","NO","NO"
"Airman-Foredil","AX 16-2N","AX16-2N","airman-foredil-ax16-2n","230x96x33; 230x48x66","NO","NO","NO","NO"
"Airman-Foredil","AX 29U","AX29U","airman-foredil-ax29u","300x52.5x78","NO","NO","NO","NO"
"Airman-Foredil","AX 35","AX35","airman-foredil-ax35","300x55x80; 300x52.5x82","NO","NO","NO","NO"
"Airman-Foredil","AX 45","AX45","airman-foredil-ax45","400x72.5x72","NO","NO","NO","NO"
"Airman-Foredil","AX22","AX22","airman-foredil-ax22","250x52.5x73; 300x52.5x72","NO","NO","NO","NO"
"Almac","Athena-870","Athena-870","almac-athena-870","250x72x57","NO","NO","NO","NO"
"Almac","BIBI-1090EVO","BIBI-1090EVO","almac-bibi-1090evo","250x72x64","NO","NO","NO","NO"
"Almac","BIBI-1250CL","BIBI-1250CL","almac-bibi-1250cl","250x72x64","NO","NO","NO","NO"
"Almac","BIBI-1470HE","BIBI-1470HE","almac-bibi-1470he","250x72x64","NO","NO","NO","NO"
"Almac","BIBI-850BL","BIBI-850BL","almac-bibi-850bl","250x72x57","NO","NO","NO","NO"
"Almac","BIBI-850HE","BIBI-850HE","almac-bibi-850he","200x72x47","NO","NO","NO","NO"
"Almac","BIBI-870BL","BIBI-870BL","almac-bibi-870bl","250x72x57","NO","NO","NO","NO"
"Almac","BIEASY1,5","BIEASY1,5","almac-bieasy15","230x72x43","NO","NO","NO","NO"
"Almac","MULTI-LOADER 2.5","MULTI-LOADER2.5","almac-multi-loader25","250x72x64","NO","NO","NO","NO"
"Amerequip Eagle","TRAX40","TRAX40","amerequip-eagle-trax40","230x96x39; 250x48x78","NO","NO","NO","NO"
"American Direction Drill","DD10","DD10","american-direction-drill-dd10","230x72x56","NO","NO","NO","NO"
"American Direction Drill","DD2","DD2","american-direction-drill-dd2","230x72x56","NO","NO","NO","NO"
"American Direction Drill","DD3","DD3","american-direction-drill-dd3","320x52.5x88; 300x52.5x88","NO","NO","NO","NO"
"American Direction Drill","DD4","DD4","american-direction-drill-dd4","300x54x82; 300x52.5x84","NO","NO","NO","NO"
"American Direction Drill","DD6","DD6","american-direction-drill-dd6","400x73x74; 400x72.5x74","NO","NO","NO","NO"
"American Direction Drill","DD8","DD8","american-direction-drill-dd8","400x73x74; 400x72.5x74","NO","NO","NO","NO"
"Ammann","AMX 65","AMX65","ammann-amx65","400x72.5x76","NO","NO","NO","NO"
"Ammann","AMX85ZT","AMX85ZT","ammann-amx85zt","450x76x82","NO","NO","NO","NO"
"Andreoli","UT60EVO","UT60EVO","andreoli-ut60evo","230x78x42","NO","NO","NO","NO"
"Angel","WY1.3","WY1.3","angel-wy13","230x72x43","NO","NO","NO","NO"
"Angel","WY2.5","WY2.5","angel-wy25","300x55x76; 300x52.5x78","NO","NO","NO","NO"
"Angel","WY3.5","WY3.5","angel-wy35","300x55x82; 300x52.5x84","NO","NO","NO","NO"
"Antec","A12B","A12B","antec-a12b","230x72x43","NO","NO","NO","NO"
"Antec","A14sa","A14sa","antec-a14sa","230x72x43","NO","NO","NO","NO"
"Antec","HCC1051D","HCC1051D","antec-hcc1051d","180x72x37","NO","NO","NO","NO"
"Apageo","450 (H.D Drilling Machine)","450","apageo-450","250x72x52","NO","NO","NO","NO"
"Apageo","580 (H.D Drilling Machine)","580","apageo-580","250x72x52","NO","NO","NO","NO"
"Apageo","LWC100 ( Drilling Machine)","LWC100","apageo-lwc100","250x72x57","NO","NO","NO","NO"
"Aros China","1.5","1.5","aros-china-15","230x72x43","NO","NO","NO","NO"
"Astec","Mini-Excavator","Mini-Excavator","astec-mini-excavator","250x72x56; 300x52.5x92","NO","NO","NO","NO"
"Atex","XC750D","XC750D","atex-xc750d","200x72x38; 180x72x38","NO","NO","NO","NO"
"Atex","XG450M","XG450M","atex-xg450m","200x72x39","NO","NO","NO","NO"
"Athena","1090 (Lifting Platform)","1090","athena-1090","250x72x64","NO","NO","NO","NO"
"Atlas","100","100","atlas-100","200x72x41","NO","NO","NO","NO"
