Make,Model,Track Sizes (Base),Track Sizes (Display),Track Sizes (Canonical w/ N/W)
Airman,AX12-2,230x96x31;230x48x62,230x96x31;230x48x62,230x96x31;230x48x62
Airman,AX15,230x96x31;230x48x62,230x96x31;230x48x62,230x96x31;230x48x62
Airman,AX15 U,230x96x31;230x48x62,230x96x31;230x48x62,230x96x31;230x48x62
Airman,AX15-2,230x96x31;230x48x62,230x96x31;230x48x62,230x96x31;230x48x62
Airman,AX16,230x96x33;230x48x63,230x96x33;230x48x63,230x96x33;230x48x63
Airman,AX16-2,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,AX16-3,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,AX16CBL-3,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Airman,AX18-2,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX19U,230x48x70,230x48x70,230x48x70
Airman,AX20-3,250x107x38;300x52.5x76,250x107x38;300x52.5x76,250x107x38;300x52.5x76
Airman,AX20U,250x96x41;250x47x84;250x48x82,250x96x41;250x47x84;250x48x82,250x96x41;250x47x84;250x48x82
Airman,AX20UR,250x107x38;250x52.5x76;300x52.5x76,250x107x38;250x52.5x76;300x52.5x76 (Narrow),250x107x38;250x52.5x76;300x52.5x76(N)
Airman,AX22,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX22-1,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX22-2,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX22CGL,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX22UCGL,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX22UCGL4,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX25,300x55x74;250x52.5x76;300x52.5x76,300x55x74 (Narrow);250x52.5x76;300x52.5x76 (Narrow),300x55x74(N);250x52.5x76;300x52.5x76(N)
