brand,model_name,full_name,equipment_type,created_at,updated_at
Bobcat,T140,Bobcat T140,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T180,Bobcat T180,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T190,Bobcat T190,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T200,Bobcat T200,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T250,Bobcat T250,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T300,Bobcat T300,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T320,Bobcat T320,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T450,Bobcat T450,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T550,Bobcat T550,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T590,Bobcat T590,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T595,Bobcat T595,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T630,Bobcat T630,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T650,Bobcat T650,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T740,Bobcat T740,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T750,Bobcat T750,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T770,Bobcat T770,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Bobcat,T870,Bobcat T870,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,118,Boxer 118,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,320,Boxer 320,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,322,Boxer 322,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,322D,Boxer 322D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,375D,Boxer 375D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,385D,Boxer 385D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,400,Boxer 400,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,420,Boxer 420,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,600HD,Boxer 600HD,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,700HDX,Boxer 700HDX,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Boxer,TD327,Boxer TD327,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,420CT,Case 420CT,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,440CT,Case 440CT,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,445CT,Case 445CT,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,450CT,Case 450CT,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TL1000,Case TL1000,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TR270,Case TR270,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TR270B,Case TR270B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TR310,Case TR310,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TR310B,Case TR310B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TR320,Case TR320,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TR340,Case TR340,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TR340B,Case TR340B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TV370,Case TV370,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TV370B,Case TV370B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TV380,Case TV380,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TV450,Case TV450,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TV450B,Case TV450B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Case,TV620B,Case TV620B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,239D,Caterpillar 239D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,239D3,Caterpillar 239D3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,247,Caterpillar 247,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,247B,Caterpillar 247B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,247B2,Caterpillar 247B2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,247B3,Caterpillar 247B3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,249B,Caterpillar 249B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,249D,Caterpillar 249D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,249D3,Caterpillar 249D3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,255,Caterpillar 255,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,257,Caterpillar 257,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,257B,Caterpillar 257B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,257B2,Caterpillar 257B2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,257B3,Caterpillar 257B3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,257D,Caterpillar 257D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,259B,Caterpillar 259B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,259B3,Caterpillar 259B3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,259D,Caterpillar 259D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,259D3,Caterpillar 259D3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,265,Caterpillar 265,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,267,Caterpillar 267,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,267B,Caterpillar 267B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,267B2,Caterpillar 267B2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,277,Caterpillar 277,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,277B,Caterpillar 277B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,277C,Caterpillar 277C,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,277D,Caterpillar 277D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,277E,Caterpillar 277E,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,279C,Caterpillar 279C,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,279D,Caterpillar 279D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,279D2,Caterpillar 279D2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,287,Caterpillar 287,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,287B,Caterpillar 287B,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,287C,Caterpillar 287C,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,287D,Caterpillar 287D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,289C,Caterpillar 289C,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,289C2,Caterpillar 289C2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,289D,Caterpillar 289D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,289D2,Caterpillar 289D2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,289D3,Caterpillar 289D3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,297C,Caterpillar 297C,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,297D,Caterpillar 297D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,297D2,Caterpillar 297D2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,299C,Caterpillar 299C,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,299D,Caterpillar 299D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,299D2,Caterpillar 299D2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,299D3,Caterpillar 299D3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,299D2XHP,Caterpillar 299D2XHP,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Caterpillar,299D3XE,Caterpillar 299D3XE,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,220,Dingo 220,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,222,Dingo 222,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,223,Dingo 223,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,323,Dingo 323,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,325,Dingo 325,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,427,Dingo 427,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,427XL,Dingo 427XL,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,525,Dingo 525,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,525XL,Dingo 525XL,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,525R,Dingo 525R,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,527R,Dingo 527R,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,K92,Dingo K92,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,K93,Dingo K93,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,K94,Dingo K94,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,K93-4,Dingo K93-4,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Dingo,K94-4,Dingo K94-4,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Ditch Witch,SK650,Ditch Witch SK650,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Ditch Witch,SK750,Ditch Witch SK750,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Ditch Witch,SK755,Ditch Witch SK755,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Ditch Witch,SK800,Ditch Witch SK800,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Ditch Witch,SK850,Ditch Witch SK850,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Ditch Witch,SK1050,Ditch Witch SK1050,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Ditch Witch,SK3000,Ditch Witch SK3000,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT105,GEHL RT105,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT125,GEHL RT125,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT165,GEHL RT165,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT175,GEHL RT175,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT210,GEHL RT210,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT250,GEHL RT250,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT255,GEHL RT255,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT257,GEHL RT257,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT260,GEHL RT260,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT265,GEHL RT265,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,RT270,GEHL RT270,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,V180,GEHL V180,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,V270,GEHL V270,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
GEHL,V330,GEHL V330,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hitachi,CG35,Hitachi CG35,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hitachi,CG40,Hitachi CG40,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hitachi,CG45,Hitachi CG45,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hitachi,CG50,Hitachi CG50,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
