ID,Size,Price,Width Variant,Inventory Count,Is In Stock,Description
68fd94219c5aa599a844be6c,320x86x52,,,,,
68fd94219c5aa599a844beb1,450x86x52,,,,,
68fd94219c5aa599a844beb2,450x84x53,,,,,
68fd94219c5aa599a844beb3,450x86x60,,,,,
68fd94219c5aa599a844be75,230x48x72,,,,,
68fd94219c5aa599a844beb4,300x55x81,,,,,
68fd94219c5aa599a844beb5,350x55x88,,,,,
68fd94219c5aa599a844beb6,450x81x76,,,,,
68fd94219c5aa599a844beb7,180x72x45,,,,,
68fd94219c5aa599a844be6b,320x86x50,,,,,
68fd94219c5aa599a844bebd,400x86x50,,,,,
,375x86x50,,,,,
68fd94219c5aa599a844bf35,400x86x52,,,,,
68fd94219c5aa599a844bf70,375x86x52,,,,,
68fd94219c5aa599a844beb8,250x75x52,,,,,
68fd94219c5aa599a844be27,300x84x46,,,,,
68fd94219c5aa599a844beb9,320x86x45,,,,,
68fd94219c5aa599a844be21,320x86x49,,,,,
68fd94219c5aa599a844beba,400x86x49,,,,,
68fe7532258cf8e23fb2ed8f,13x4x56,,,,,
68fe7532258cf8e23fb2ed80,18x4x56,,,,,
68fd94219c5aa599a844bebb,450x86x55,,,,,
68fd94219c5aa599a844bebc,400x86x55,,,,,
68fe7532258cf8e23fb2ed8b,18x4x51,,,,,
68fd94219c5aa599a844bebe,320x86x53,,,,,
68fd94219c5aa599a844bebf,450x86x53,,,,,
68fd94219c5aa599a844bedf,400x86x53,,,,,
68fd94219c5aa599a844be25,450x86x58,,,,,
68fd94219c5aa599a844bec0,450x84x59,,,,,
68fd94219c5aa599a844be34,250x72x47,,,,,
,300x55x71,,Narrow,,,
68fd94219c5aa599a844be7a,320x54x78,,,,,
68fd94219c5aa599a844be79,320x54x72,,,,,
68fd94219c5aa599a844bec1,300x54x78,,,,,
68fd94219c5aa599a844bec2,300x52.5x92,,,,,
68fd94219c5aa599a844bec3,230x72x39,,,,,
68fd94219c5aa599a844be2e,300x52.5x78,,,,,
68fd94219c5aa599a844be43,300x55x78,,,,,
,300x25.5x80,,Narrow,,,
68fd94219c5aa599a844bec4,130x72x29,,,,,
68fd94219c5aa599a844be2b,250x109x35,,,,,
68fd94219c5aa599a844be2c,300x52.5x72,,,,,
68fd94219c5aa599a844be2d,300x109x38,,,,,
68fd94219c5aa599a844be31,350x108x42,,,,,
68fd94219c5aa599a844be32,350x52.5x86,,,,,
68fd94219c5aa599a844be22,320x86x54,,,,,
68fd94219c5aa599a844beca,375x86x54,,,,,
68fd94219c5aa599a844be23,400x86x54,,,,,
68fd94219c5aa599a844be33,400x72.5x72,,Narrow,,,
68fd94219c5aa599a844becb,400x135x39,,,,,
68fd94219c5aa599a844becc,400x725.5x74,,,,,
68fd94219c5aa599a844becd,450x73.5x80,,,,,
,450x135x42,,,,,
68fd94219c5aa599a844bee8,450x71x82,,,,,
68fd94219c5aa599a844bece,200x96x30,,,,,
68fd94219c5aa599a844becf,230x48x60,,,,,
68fd94219c5aa599a844bed0,260x109x35,,,,,
68fd94219c5aa599a844bed1,300x109x35,,,,,
68fd94219c5aa599a844bed2,350x56x84,,,,,
68fd94219c5aa599a844bed3,350x52.5x88,,,,,
68fd94219c5aa599a844bed4,250x52.5x78,,,,,
68fd94219c5aa599a844bed5,250x52.5x80,,,,,
68fd94219c5aa599a844be70,300x52.5x88,,,,,
,300x52x588,,,,,
68fd94219c5aa599a844bed7,400x74x68,,,,,
68fd94219c5aa599a844bf34,400x72.5x70,,Narrow,,,
68fd94219c5aa599a844bed8,400x74x72,,,,,
,400x72.5x73,,Narrow,,,
68fd94219c5aa599a844bed9,400x73x76,,,,,
68fd94219c5aa599a844beb6,450x81x76,,Narrow,,,
68fd94219c5aa599a844beda,450x81.5x76,,,,,
68fd94219c5aa599a844bedb,230x96x30,,,,,
68fd94219c5aa599a844bedc,250x72x39,,,,,
68fd94219c5aa599a844bede,320x86x56,,,,,
,375x86x56,,,,,
69236a1cdad3779b7fe481fc,381x100x42,,,,,
69236a1cdad3779b7fe481fe,457x100.6x56,,,,,
68fe7532258cf8e23fb2ed95,15x4x56,,,,,
68fd94219c5aa599a844bee0,40x86x60,,,,,
68fd94219c5aa599a844be6d,450x86x63,,,,,
